,location,region,lat,lon,prediction,anger,disgust,fear,joy,neutral,sadness,surprise
822,burgos-55bu-es,europe/madrid,42.35,-3.7,1.0,0.10327981384217633,0.004006101022736546,0.4488749449223685,0.12766727989184712,0.15154467019680914,0.10124213883786325,0.06338507343094703
823,bursa-16-tr,europe/istanbul,40.19167,29.06111,0.0,0.1045286649891334,0.003709264239090083,0.5047896604449756,0.13594709649931289,0.16854985084615912,0.03704923598884037,0.045426231709847456
824,bursa-16-tr,europe/istanbul,40.19167,29.06111,1.0,0.09157944497679592,0.003040104886517617,0.4698936875092261,0.16750082824239454,0.1893971425659747,0.03054573083936942,0.04804306222425548
825,busan-10-kr,asia/seoul,35.10278,129.04028,0.0,0.1006652003558163,0.001919322978363745,0.576204646726779,0.12262319377519143,0.10236056042218876,0.05303454800204966,0.04319253604167716
826,busan-10-kr,asia/seoul,35.10278,129.04028,1.0,0.13005170083314327,0.002592196966602475,0.5884995752552323,0.08682526888885905,0.11504998488983532,0.044537538219652596,0.03244374119115229
827,butembo-11-cd,africa/lubumbashi,0.14164,29.29117,0.0,0.15467521156339592,0.0024701947016485667,0.5259943573425213,0.1978499213970887,0.03146652935538435,0.01064737389485035,0.07689644097505753
828,butembo-11-cd,africa/lubumbashi,0.14164,29.29117,1.0,0.24604604320486942,0.0018255265933990808,0.409709929420827,0.03582701679702727,0.18784753744760438,0.05286849759417437,0.06587545565786405
829,butwal-00-np,asia/kathmandu,27.70055,83.44836,0.0,0.08185415476540972,0.0019026912350421038,0.567898511596198,0.1492127132501398,0.09233307940623166,0.04216011034601087,0.06463875985259165
830,butwal-00-np,asia/kathmandu,27.70055,83.44836,1.0,0.07123039402197007,0.001734095737143961,0.44446056504319936,0.20889434549543587,0.19468682085991731,0.026429093623947728,0.0525647090722082
831,buxar-34-in,asia/kolkata,25.57473,83.97867,0.0,0.4914853814989328,0.0011160465655848,0.0564613081514835,0.00718462397344405,0.32907825056463474,0.0314315292052924,0.0832428028807044
832,buxar-34-in,asia/kolkata,25.57473,83.97867,1.0,0.1636529965015749,0.0012952294569306734,0.57289934232831,0.06738347890010721,0.10884013451868664,0.036222579826911225,0.04970627776347096
833,buxoro-02-uz,asia/samarkand,39.77472,64.42861,0.0,0.10466433482037646,0.0013703986963567,0.8211260305510627,0.03982712266345814,0.0070807238419850005,0.020066316032575186,0.005865077125943333
834,buxoro-02-uz,asia/samarkand,39.77472,64.42861,1.0,0.08357784291729327,0.013244040215795349,0.31147186364978546,0.04610287398099894,0.4569087590207346,0.05904477695003146,0.02964982989942651
835,buzau-11-ro,europe/bucharest,45.15,26.83333,0.0,0.1885420382022857,0.0021259079221636,0.6657920479774475,0.0212855320423841,0.0730779767036438,0.0185700133442878,0.0306063499301671
836,bydgoszcz-73-pl,europe/warsaw,53.1235,18.00762,0.0,0.11100994508296107,0.007492670813338439,0.5183008523187348,0.10001001299755059,0.143235594056213,0.06759620490904056,0.0523547279113702
837,bydgoszcz-73-pl,europe/warsaw,53.1235,18.00762,1.0,0.1181675841179759,0.0017123845293776471,0.42308811500190363,0.10353957330465506,0.2309162904599258,0.05272133814921402,0.06985472959049803
838,caaguazu-04-py,america/asuncion,-25.45,-56.01667,0.0,0.08260060101747507,0.0010270263301208,0.6646420732140541,0.0385501780547201,0.13932439795462412,0.022235477343201603,0.0516202735016122
839,cabanatuan-0347-ph,asia/manila,15.4867,120.9676,0.0,0.055197328282391836,0.0012341478341036892,0.44198319791122576,0.12562642585118947,0.2874311961895219,0.016503063731064783,0.07202464090815147
840,cabanatuan-0347-ph,asia/manila,15.4867,120.9676,1.0,0.07905602337615117,0.0012503511467319795,0.383161913418758,0.10870037801445472,0.30570162350814495,0.03178554322821867,0.0903441788451302
841,cacador-26-br,america/sao_paulo,-26.77528,-51.015,0.0,0.13330309848302596,0.0020765000917425578,0.6028306139602028,0.15716696123469262,0.03600993894173394,0.020338237415083036,0.04827464078785986
842,cacador-26-br,america/sao_paulo,-26.77528,-51.015,1.0,0.1610902547836303,0.0011560427956283,0.5594925284385681,0.0773519873619079,0.0900021195411682,0.0558571368455886,0.0550499372184276
843,cacak-se17-rs,europe/belgrade,43.89139,20.34972,0.0,0.12835964691450033,0.014896248587899948,0.5539149088169001,0.07508134635301948,0.11861387461304398,0.061590476215490964,0.047543494490975224
