,location,region,lat,lon,prediction,status_id,code,user_id,probability,Author,twitter_id,# mv_care_virtue,# mv_care_vice_harm,# mv_fairness_virtue,# mv_fairness_vice_cheating,# mv_loyalty_virtue,# mv_loyalty_vice_betrayal,# mv_authority_virtue,# mv_authority_vice_subversion,# mv_sanctity_virtue,# mv_sanctity_vice_degradation,# mv_liberty_virtue,# mv_liberty_vice_oppression
27,abeokuta-16-ng,africa/lagos,7.15,3.35,0.0,1.598811505812927e+18,958864.0,1.0661353442514949e+18,0.48029813209158395,1.0661353442514949e+18,1.598811505812927e+18,0.16981132075471697,0.03773584905660377,0.0,0.0,0.33962264150943394,0.0,0.018867924528301886,0.0,0.18867924528301888,0.018867924528301886,0.0,0.0
28,abeokuta-16-ng,africa/lagos,7.15,3.35,1.0,1.598277235878521e+18,958864.0,1.1315581211209485e+18,0.8540119339999869,1.1315581211209485e+18,1.598277235878521e+18,0.11764705882352941,0.0,0.0,0.0,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,aberdeen-sctt5-gb,europe/london,57.14369,-2.09814,0.0,1.5984293412454671e+18,183790.0,5.0694445310623046e+17,0.33377727043498095,5.0694445310623046e+17,1.5984293412454671e+18,0.054455445544554455,0.0594059405940594,0.024752475247524754,0.01485148514851485,0.21782178217821782,0.009900990099009901,0.054455445544554455,0.009900990099009901,0.024752475247524754,0.0297029702970297,0.024752475247524754,0.04950495049504951
30,aberdeen-sctt5-gb,europe/london,57.14369,-2.09814,1.0,1.5986860668363932e+18,183790.0,6.886583262724448e+17,0.8231802544169541,6.886583262724448e+17,1.5986860668363932e+18,0.020833333333333332,0.125,0.041666666666666664,0.0,0.1875,0.0,0.041666666666666664,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0
31,abha-11-sa,asia/riyadh,18.21639,42.50528,0.0,1.598305233589571e+18,210886.0,7.785271135969146e+17,0.42773201518229026,7.785271135969146e+17,1.598305233589571e+18,0.010380622837370242,0.00461361014994233,0.0034602076124567475,0.0,0.09342560553633218,0.0,0.0,0.0011534025374855825,0.0,0.0,0.0011534025374855825,0.0
32,abha-11-sa,asia/riyadh,18.21639,42.50528,1.0,1.5990619044426537e+18,210886.0,1.3827951798447752e+18,0.7663588585544461,1.3827951798447752e+18,1.5990619044426537e+18,0.003588087549336204,0.002152852529601722,0.0,0.0,0.014711158952278435,0.0,0.0003588087549336204,0.0003588087549336204,0.0,0.0,0.0,0.0
33,abidjan-82-ci,africa/abidjan,5.30966,-4.01266,0.0,1.5984048219955965e+18,4909207.0,8.183572307664465e+17,0.39617533409256944,8.183572307664465e+17,1.5984048219955965e+18,0.06542056074766354,0.018691588785046728,0.009345794392523364,0.0,0.14018691588785046,0.0,0.12149532710280374,0.018691588785046728,0.07476635514018691,0.009345794392523364,0.009345794392523364,0.009345794392523364
34,abidjan-82-ci,africa/abidjan,5.30966,-4.01266,1.0,1.5985448439564273e+18,4909207.0,6.794935123636782e+17,0.8342247897898495,6.794935123636782e+17,1.5985448439564273e+18,0.0847457627118644,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.0847457627118644,0.0,0.13559322033898305,0.05084745762711865,0.1864406779661017,0.01694915254237288,0.0,0.01694915254237288
35,abilene-tx441-us,america/chicago,32.44874,-99.73314,0.0,1.598440502252968e+18,117063.0,1.0260543519629254e+18,0.4148394898838996,1.0260543519629254e+18,1.598440502252968e+18,0.125,0.041666666666666664,0.041666666666666664,0.0,0.2916666666666667,0.0,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,0.08333333333333333
36,abilene-tx441-us,america/chicago,32.44874,-99.73314,1.0,1.5991953023212134e+18,117063.0,1.3430967902881341e+18,0.7213306974336966,1.3430967902881341e+18,1.5991953023212134e+18,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,abohar-23-in,asia/kolkata,30.1431,74.19749,0.0,1.5987635601881354e+18,291323.0,1.411910736041767e+18,0.6312485245111593,1.411910736041767e+18,1.5987635601881354e+18,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0
38,abohar-23-in,asia/kolkata,30.1431,74.19749,1.0,1.5982644810247393e+18,291323.0,1.4461645625819648e+18,0.7943188037453888,1.4461645625819648e+18,1.5982644810247393e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,abomey calavi-00-africa/porto,novo,6.44852,2.35566,0.0,1.5979041374018847e+18,405849.0,3200078404.0,0.0997397422453354,3200078404.0,1.5979041374018847e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,abomey calavi-00-africa/porto,novo,6.44852,2.35566,1.0,1.5978867713871995e+18,405849.0,1.2351727004668396e+18,0.8897426158793817,1.2351727004668396e+18,1.5978867713871995e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,abu dhabi-01-ae,asia/dubai,24.46667,54.36667,0.0,1.5985964078737088e+18,603492.0,6.107105668054787e+17,0.39357022188381063,6.107105668054787e+17,1.5985964078737088e+18,0.06013745704467354,0.06786941580756013,0.00859106529209622,0.01288659793814433,0.21477663230240548,0.007731958762886598,0.03264604810996564,0.00859106529209622,0.02147766323024055,0.011168384879725086,0.03865979381443299,0.023195876288659795
