,location,region,lat,lon,prediction,count,percentage
362,ayacucho-05-pe,america/lima,-13.15833,-74.22389,0.0,3,75.0
363,ayacucho-05-pe,america/lima,-13.15833,-74.22389,1.0,1,25.0
364,aydin-09-tr,europe/istanbul,37.84501,27.83963,0.0,92,89.32
365,aydin-09-tr,europe/istanbul,37.84501,27.83963,1.0,11,10.68
366,az zaqaziq-14-eg,africa/cairo,30.58768,31.502,0.0,635,69.1
367,az zaqaziq-14-eg,africa/cairo,30.58768,31.502,1.0,284,30.9
368,az zarqa'-17-jo,asia/amman,32.07275,36.08796,0.0,27,72.97
369,az zarqa'-17-jo,asia/amman,32.07275,36.08796,1.0,10,27.03
370,azare-46-ng,africa/lagos,11.6765,10.1948,0.0,4,100.0
371,babahoyo-13-ec,america/guayaquil,-1.81667,-79.51667,0.0,10,76.92
372,babahoyo-13-ec,america/guayaquil,-1.81667,-79.51667,1.0,3,23.08
373,babati-27-tz,africa/dar_es_salaam,-4.21667,35.75,0.0,1,5.0
374,babati-27-tz,africa/dar_es_salaam,-4.21667,35.75,1.0,19,95.0
375,babijn-00-aw,america/aruba,12.53333,-69.98333,0.0,22,73.33
376,babijn-00-aw,america/aruba,12.53333,-69.98333,1.0,8,26.67
377,babruysk-06-by,europe/minsk,53.1384,29.2214,0.0,3,100.0
378,bacabal-13-br,america/fortaleza,-4.29167,-44.79167,0.0,3,75.0
379,bacabal-13-br,america/fortaleza,-4.29167,-44.79167,1.0,1,25.0
380,bacau-04-ro,europe/bucharest,46.56667,26.9,0.0,4,100.0
381,bacolod city-06h3-ph,asia/manila,10.66667,122.95,0.0,118,40.83
382,bacolod city-06h3-ph,asia/manila,10.66667,122.95,1.0,171,59.17
383,badajoz-57ba-es,europe/madrid,38.87789,-6.97061,0.0,136,77.71
384,badajoz-57ba-es,europe/madrid,38.87789,-6.97061,1.0,39,22.29
385,bafoussam-08-cm,africa/douala,5.47366,10.41786,0.0,38,77.55
386,bafoussam-08-cm,africa/douala,5.47366,10.41786,1.0,11,22.45
387,bagaha-34-in,asia/kolkata,27.09918,84.09003,0.0,2,50.0
388,bagaha-34-in,asia/kolkata,27.09918,84.09003,1.0,2,50.0
389,baghdad-07-iq,asia/baghdad,33.34058,44.40088,0.0,263,66.58
390,baghdad-07-iq,asia/baghdad,33.34058,44.40088,1.0,132,33.42
391,bago-16-mm,asia/rangoon,17.33667,96.47972,0.0,4,100.0
392,baguio-15a4-ph,asia/manila,16.41639,120.59306,0.0,28,43.08
393,baguio-15a4-ph,asia/manila,16.41639,120.59306,1.0,37,56.92
394,baharampur-28-in,asia/kolkata,24.10473,88.25155,0.0,1,33.33
395,baharampur-28-in,asia/kolkata,24.10473,88.25155,1.0,2,66.67
